"","sasdate","RPI","W875RX1","DPCERA3M086SBEA","CMRMTSPLx","RETAILx","INDPRO","IPFPNSS","IPFINAL","IPCONGD","IPDCONGD","IPNCONGD","IPBUSEQ","IPMAT","IPDMAT","IPNMAT","IPMANSICS","IPB51222S","IPFUELS","CUMFNS","HWI","HWIURATIO","CLF16OV","CE16OV","UNRATE","UEMPMEAN","UEMPLT5","UEMP5TO14","UEMP15OV","UEMP15T26","UEMP27OV","CLAIMSx","PAYEMS","USGOOD","CES1021000001","USCONS","MANEMP","DMANEMP","NDMANEMP","SRVPRD","USTPU","USWTRADE","USTRADE","USFIRE","USGOVT","CES0600000007","AWOTMAN","AWHMAN","HOUST","HOUSTNE","HOUSTMW","HOUSTS","HOUSTW","PERMIT","PERMITNE","PERMITMW","PERMITS","PERMITW","AMDMNOx","ANDENOx","AMDMUOx","BUSINVx","ISRATIOx","M1SL","M2SL","M2REAL","BOGMBASE","TOTRESNS","NONBORRES","BUSLOANS","REALLN","NONREVSL","CONSPI","S.P.500","S.P..indust","S.P.div.yield","S.P.PE.ratio","FEDFUNDS","CP3Mx","TB3MS","TB6MS","GS1","GS5","GS10","AAA","BAA","COMPAPFFx","TB3SMFFM","TB6SMFFM","T1YFFM","T5YFFM","T10YFFM","AAAFFM","BAAFFM","EXSZUSx","EXJPUSx","EXUSUKx","EXCAUSx","WPSFD49207","WPSFD49502","WPSID61","WPSID62","OILPRICEx","PPICMM","CPIAUCSL","CPIAPPSL","CPITRNSL","CPIMEDSL","CUSR0000SAC","CUSR0000SAD","CUSR0000SAS","CPIULFSL","CUSR0000SA0L2","CUSR0000SA0L5","PCEPI","DDURRG3M086SBEA","DNDGRG3M086SBEA","DSERRG3M086SBEA","CES0600000008","CES2000000008","CES3000000008","DTCOLNVHFNM","DTCTHFNM","INVEST","VXOCLSx"
"1",31,10.0880000000002,6.70000000000027,0.122,375.712,147.271799999999,-0.0250999999999948,0.107300000000002,0.198599999999999,0.503800000000005,0.487400000000001,0.473300000000002,0.0695999999999977,-0.1999,-0.319300000000002,0.199199999999998,0.028100000000002,-0.265699999999995,-0.076900000000002,81.9415,-36,-0.0889687220000001,170,-82,0.3,0.0999999999999996,150,1048,39,309,18,258500,129,21,-1.39999999999998,88,-63,-48,-15,108,21,3.5,16.1000000000004,12,22,40,-0.0999999999999996,40.2,220,89,-9,55,85,56,42,24,-6,-4,26251.15075,7720.869502,-758.267300000007,954.690999999992,1.642649007,-1.19999999999999,-3.30000000000007,-16.9000000000001,-1200,-1,-1100,-0.602599999999995,0.299800000000005,0.278790000000001,-0.000620684999999982,-3.15000000000001,-3.67,0.130422788,14.5081829,0,-0.229999999999999,-0.74,-0.56,-0.51,-0.35,-0.55,0.0199999999999996,-0.0800000000000001,-0.43,-1.85,-1.76,-1.39,-1.16,-1.74,-1.05,-0.2,4.2998,-0.0255999999999972,0.00430000000000019,0.000199999999999978,-0.100000000000001,-0.100000000000001,0,0.100000000000001,0,-0.299999999999997,0.200000000000003,0.299999999999997,0.100000000000001,0.200000000000003,0.200000000000003,0.200000000000003,0.200000000000003,0.200000000000003,0.200000000000003,0.199999999999996,0.0809999999999995,0.0910000000000011,0.0970000000000013,0.0690000000000008,0.0300000000000002,0.0199999999999996,0.00999999999999979,-86,-104,-1.66069999999999,17.6779
"2",59,15.8309999999997,14.1999999999998,-0.141999999999999,-4943.90900000004,-296.617839999999,-0.0494000000000057,-0.0213999999999999,-0.102799999999995,-0.0617000000000019,0.322099999999999,-0.3292,0.0333000000000006,-0.0831000000000017,-0.00859999999999772,-0.7136,-0.103200000000001,0.0918999999999954,0.709900000000005,81.4499,-184,-0.100049754,347,165,0.2,0.300000000000001,28,1133,64,353,20,268250,146,-9,-0.899999999999977,-6,-1,19,-20,155,27,3.5,23.6999999999998,15,85,39.9,-0.1,40.1,14,15,49,-11,-38,14,-15,18,9,2,25620.05469,6952.861502,-1022.46859999999,691.663800000009,1.663311258,0.699999999999989,1,-5.39999999999986,100,-0.399999999999999,-200,-0.282499999999999,0.179999999999993,-0.0167100000000033,-0.000944239000000013,1.49000000000001,1.22,-0.0573087609999998,14.7765951,-1.22,-0.220000000000001,-0.5,-0.64,-0.62,-0.61,-0.17,-0.0899999999999999,-0.149999999999999,0.57,-1.13,-1.18,-0.79,-0.55,-0.69,0.08,0.87,4.31,-0.166399999999953,0.0011000000000001,-0.000399999999999956,0.100000000000001,0.100000000000001,-0.100000000000001,0.399999999999999,0,1.1,0.199999999999996,0,-0.100000000000001,0.200000000000003,0,0.0999999999999943,0.399999999999999,0.199999999999996,0.0999999999999943,0.200000000000003,0.0510000000000019,0.0989999999999966,-0.00499999999999901,0.0719999999999992,0.02,0.04,0.02,-63,-178,1.47699999999999,17.4539
"3",90,40.7970000000005,-22.2999999999997,0.0209999999999972,-2113.37799999997,372.327980000002,-0.0978999999999957,0.0135000000000005,-0.00980000000000558,0.208500000000001,-0.0157999999999987,0.346299999999999,-0.00760000000000005,-0.2438,-0.3828,0.451900000000002,-0.128399999999999,0.510899999999999,-0.354500000000002,80.9049,-91,-0.061819238,229,67,0.199999999999999,-0.100000000000001,161,1106,68,400,21,325250,-103,-186,-2.80000000000007,-28,-153,-126,-27,83,-23,0.699999999999818,-18.1000000000004,7,102,39.7,-0.1,39.8,-55,-39,-15,13,-14,92,4,-23,56,55,25071.72533,6556.620652,-1278.0858,1324.87719999999,1.68397351,1,1.10000000000002,-5.10000000000014,1000,0.600000000000001,700,0.263799999999989,0.121200000000002,-0.0306700000000006,-0.00222116,-2.7,-2.94,0.11620503,14.32004741,0.34,-0.27,-0.12,0.0199999999999996,0.0899999999999999,0.29,0.319999999999999,-0.00999999999999979,0.0699999999999985,-0.04,-1.59,-1.5,-1.04,-0.6,-0.71,-0.27,0.6,4.3022,0.473799999999983,0.000299999999999745,9.9999999999989e-05,0,0,0.200000000000003,-0.100000000000001,0,1.9,0.200000000000003,0.200000000000003,0.5,0.299999999999997,0.199999999999996,0.200000000000003,0.200000000000003,0.300000000000004,0.200000000000003,0.199999999999996,0.105,0.0530000000000044,0.151,0.0779999999999994,0.02,0.0600000000000005,0,43,31,1.94120000000001,18.3914
"4",120,-23.8190000000004,7.89999999999964,0.191000000000003,4518.69400000002,454.260879999998,-0.0442000000000036,0.0120999999999967,0.020700000000005,0.280499999999996,0.0337999999999994,0.428899999999999,-0.0167000000000002,-0.116099999999996,-0.114500000000003,-0.331800000000001,-0.0837999999999965,0.791200000000003,-0.655000000000001,80.4631,-194,-0.07519709,-244,-366,0.2,0.4,-30,1241,-11,360,29,310400,-224,-216,-1.10000000000002,-35,-178,-119,-59,-8,7,2.30000000000018,6,6,-37,39.6,0,39.8,26,-24,-7,40,16,104,19,24,62,-1,25867.41425,6878.274989,-1056.80530000001,-48.7086999999883,1.663311258,0.5,3.10000000000002,4.10000000000014,300,-0.200000000000003,-400,0.3352,0.0477000000000061,0.0549500000000052,0.000434965000000009,-9.89,-10.85,0.484466532,12.7432174,-0.149999999999999,0.17,0.33,0.42,0.69,0.47,0.52,0.279999999999999,0.280000000000001,0.28,-1.1,-0.92,-0.19,0.03,-0.03,0.17,1.04,4.3105,0.822600000000023,-0.00239999999999974,9.9999999999989e-05,0,-0.100000000000001,0.100000000000001,-0.5,0,-0.5,0.100000000000001,0.0999999999999943,0.100000000000001,0.200000000000003,0.100000000000001,0.299999999999997,0.199999999999996,0.100000000000001,0.100000000000001,0.100000000000001,0.0659999999999989,0.104999999999997,0.0479999999999983,0.0680000000000014,0.00999999999999979,-0.0200000000000005,0.0300000000000002,10,-13,-0.216999999999999,37.6526
"5",151,12.8770000000004,12.2000000000003,0.0939999999999976,1684.35699999996,205.3508,-0.122599999999998,-0.0937999999999946,-0.0821000000000041,0.130200000000002,0.664400000000001,-0.254999999999995,-0.100199999999997,-0.157200000000003,-0.0217999999999989,-0.447099999999999,-0.1081,-0.652200000000001,0.326500000000003,79.9701,-57,-0.042011567,1,-151,0.100000000000001,0,-9,1290,66,433,-7,296500,-95,-95,3.10000000000002,2,-99,-101,2,0,11,-4.10000000000036,0.5,3,-1,39.6,-0.1,39.8,95,2,47,15,31,-6,17,39,-34,-28,26359.31178,6515.831152,-629.504969999995,1061.85009999998,1.663311258,0.400000000000006,3.70000000000005,1.59999999999991,300,-0.299999999999997,-200,0.824000000000012,-0.120200000000011,0.509199999999993,-0.000233561000000021,-0.469999999999999,-0.200000000000003,0.0303739890000001,12.71085821,-0.34,-0.0199999999999996,-0.16,-0.159999999999999,-0.2,-0.12,-0.0700000000000003,0.370000000000001,0.27,0.6,-0.92,-0.74,-0.05,0.25,0.24,0.88,1.65,4.3157,-0.0258000000000038,-0.00600000000000023,-0.0343,0.100000000000001,0.100000000000001,0.0999999999999943,0,0,-0.800000000000004,0.199999999999996,0.200000000000003,0.199999999999996,0.199999999999996,0.100000000000001,0.200000000000003,0.200000000000003,0.199999999999996,0.100000000000001,0.200000000000003,0.054000000000002,0.0760000000000005,0.0199999999999996,0.0659999999999989,0.0299999999999998,0.0600000000000005,0.02,53,195,0.265000000000001,23.776
"6",181,23.2169999999996,20,-0.00599999999999667,450.600000000035,271.72683,0.092800000000004,0.0347999999999971,-0.0409999999999968,0.125,0.0623999999999967,0.159799999999997,-0.0426000000000002,0.174700000000001,0.0244,1.1034,0.110999999999997,0.744599999999998,-0.845700000000001,79.9686,-99,-0.041353461,417,313,0.0999999999999996,0.300000000000001,32,1329,5,428,10,286500,24,-46,-0.199999999999932,9,-53,-68,15,70,37,17.7000000000003,9.20000000000073,6,30,39.7,0.1,40,132,52,12,48,21,2,9,11,-14,-4,26055.52038,7065.906685,-861.277220000004,1246.94330000001,1.663311258,0.400000000000006,3.89999999999998,6.09999999999991,1100,0.5,100,0.841200000000001,0.2042,0.528670000000005,-0.00072333799999999,0.129999999999995,0.0400000000000063,-0.00282485099999974,12.78766765,-0.4,0.0799999999999983,-0.23,-0.350000000000001,-0.45,-0.26,-0.38,-0.0400000000000009,0.15,1.08,-0.76,-0.7,-0.11,0.38,0.25,1.23,2.19,4.3039,0.490099999999984,-0.00709999999999988,-0.00639999999999996,0,0,0.200000000000003,0.100000000000001,-0.04,-0.799999999999997,0.100000000000001,0.100000000000001,0.200000000000003,0.200000000000003,0.100000000000001,0.100000000000001,0.200000000000003,0.200000000000003,0.199999999999996,0.100000000000001,0.075999999999997,0.186,0.0749999999999993,0.0640000000000001,0.02,0.0599999999999996,0.00999999999999979,-262,-306,1.3257,21.3723
"7",212,10.585,7.5,0.117999999999999,-195.472000000009,-10.3712500000001,-0.0676000000000059,-0.427399999999999,-0.459800000000001,-0.888600000000004,-1.06529999999999,-0.695900000000002,-0.0449000000000019,0.422600000000003,0.3644,-0.959099999999999,-0.243600000000001,0.369300000000003,0.813899999999997,79.1785,-29,-0.019504918,-21,-102,0.0999999999999996,-0.0999999999999996,50,1348,43,454,17,285400,-116,-90,5.19999999999993,4,-98,-56,-42,-26,-10,-12.9000000000001,-2.40000000000055,4,14,39.6,-0.1,39.8,-118,-57,-39,-14,-10,70,-5,2,33,40,25889.98698,6994.816415,-970.963690000004,1032.6249,1.673642384,1.90000000000001,5.79999999999995,10.9000000000001,200,0.299999999999997,700,0.863699999999994,0.211200000000005,0.208200000000005,-0.000502969999999991,2.2,2.40000000000001,-0.114411933,13.29771633,-0.59,-0.389999999999999,-0.04,0.04,-0.119999999999999,-0.0199999999999996,0.0700000000000003,-0.309999999999999,0.0399999999999991,1.28,-0.2,-0.06,0.37,0.96,0.92,1.52,2.83,4.3016,-1.14580000000001,-0.0028999999999999,-0.0106999999999999,0,0,0,-0.399999999999999,0,-0.899999999999999,0.100000000000001,0.199999999999996,-0.100000000000001,0.199999999999996,0.0999999999999943,0.199999999999996,0.199999999999996,0.100000000000001,0,0.0999999999999943,0.0549999999999997,0.170999999999999,0.0190000000000019,0.0609999999999999,0.0300000000000002,0.0700000000000003,0.00999999999999979,163,215,2.85379999999999,21.3772
"8",243,-2.90499999999975,-10.5999999999999,0.138999999999999,-733.652999999991,101.638270000003,-0.260599999999997,-0.2699,-0.364200000000004,-0.195299999999996,-0.903000000000006,0.317500000000003,-0.348099999999999,-0.243900000000004,-0.443200000000001,0.661699999999996,-0.299700000000001,0.4788,1.0525,78.269,-27,-0.03511317,74,-126,0.300000000000001,0.0999999999999996,53,1448,83,507,30,318500,7,-117,1,-31,-87,-62,-25,124,7,2.69999999999982,18.6999999999998,10,30,39.3,-0.2,39.6,135,45,-4,45,50,32,-13,-24,36,33,25995.32642,6811.846376,-696.270619999996,603.988099999988,1.68397351,1.90000000000001,6.30000000000007,8.20000000000005,500,0.400000000000002,700,0.988199999999992,0.270399999999995,0.521959999999993,5.48310000000052e-05,4.66,5.25999999999999,-0.226748087,14.17784577,-0.33,-0.58,-0.29,-0.0899999999999999,-0.25,-0.28,-0.140000000000001,-0.0400000000000009,-0.0499999999999989,1.03,-0.17,0.17,0.44,1,1.1,1.8,3.1,4.3068,-0.256399999999985,-0.00240000000000018,-0.00560000000000005,0.399999999999999,0.399999999999999,0.100000000000001,0.799999999999997,0,-0.5,0.200000000000003,0.300000000000004,0.200000000000003,0.200000000000003,0.200000000000003,0.200000000000003,0.200000000000003,0.199999999999996,0.200000000000003,0.200000000000003,0.0940000000000012,0.222000000000001,0.105,0.0740000000000016,0.02,-0.00999999999999979,0.0300000000000002,67,73,2.39870000000001,17.5699
"9",273,-14.2809999999999,-21.6000000000004,-0.172000000000001,-4387.95699999999,270.689699999995,-0.751100000000001,-0.616799999999998,-0.690899999999999,-0.629100000000001,-1.9759,0.362699999999997,-0.5221,-0.9268,-1.1205,0.236800000000002,-0.788699999999999,0.784100000000002,-0.518599999999999,76.2837,-190,-0.0593875229999999,322,187,0.0999999999999996,-0.200000000000001,151,1470,-17,512,-22,333600,-423,-511,0.5,8,-519,-486,-33,88,7,0,16.8000000000002,8,52,39.2,0,39.5,46,13,47,-26,13,138,41,35,20,42,23949.67227,6530.981538,-1340.0825,253.285400000022,1.694304636,1.09999999999999,5.19999999999993,5.29999999999995,0,-0.199999999999999,0,0.245100000000008,0.325299999999999,0.112980000000007,-8.38230000000106e-05,1.79000000000001,2.19,-0.101714214,14.59188548,-0.0899999999999999,-0.470000000000001,-0.21,-0.25,-0.300000000000001,-0.17,-0.0599999999999996,-0.0600000000000005,-0.0600000000000005,0.65,-0.29,0.01,0.23,0.92,1.13,1.83,3.13,4.3309,-0.166500000000042,0.00209999999999999,0.00560000000000005,0,-0.100000000000001,0.199999999999996,0,0,-0.700000000000003,0.199999999999996,0.199999999999996,0.399999999999999,0.100000000000001,0.200000000000003,0.299999999999997,0.199999999999996,0.300000000000004,0.199999999999996,0.200000000000003,0.103999999999999,0.414999999999999,0.093,0.0809999999999995,-0.0100000000000002,0.04,-0.0300000000000002,2,15,2.85420000000001,17.557
"10",304,-4.29799999999977,-1.5,-0.184999999999999,-7005.24700000003,-732.210449999999,-0.222799999999999,-0.233400000000003,-0.239799999999995,-0.337200000000003,0.101199999999999,-0.614099999999993,-0.0858000000000008,-0.204499999999996,-0.296299999999999,-0.297899999999998,-0.210900000000002,-1.8894,0.695300000000003,75.5842,-6,-0.0358750440000001,272,-35,0.4,0.600000000000001,-48,1713,100,539,73,325250,-112,-132,0.600000000000023,17,-149,-127,-22,20,-27,-3.29999999999973,-29,12,37,39.3,-0.1,39.5,67,5,25,84,-48,-62,16,8,-5,-81,24339.05196,6963.35023,-440.653459999987,769.597699999984,1.735629139,0.799999999999983,4.70000000000005,3.90000000000009,800,0.0999999999999979,100,0.400400000000005,0.2727,-0.384690000000006,-0.000859013999999991,-0.0900000000000034,-0.269999999999996,-0.0157509660000001,14.69319589,-0.600000000000001,-0.55,-0.63,-0.79,-0.92,-0.65,-0.49,0.0200000000000014,0.0500000000000007,0.7,-0.32,-0.18,-0.09,0.87,1.24,2.45,3.78,4.3187,-0.102399999999989,0.0028999999999999,-0.00130000000000008,0.199999999999996,0.200000000000003,0.100000000000001,-0.399999999999999,0,-1.7,0.200000000000003,0.300000000000004,0.399999999999999,0.199999999999996,0.0999999999999943,0.300000000000004,0.200000000000003,0.199999999999996,0.200000000000003,0.199999999999996,0.0839999999999996,0.465000000000003,0.0189999999999984,0.0829999999999984,0.0100000000000002,0.04,0,-44,-76,3.04069999999999,16.5581
